prior=0.5609289	莫文蔚 and 張洪量
prior=0.5607567	4Minute
prior=0.5607399	張信哲
prior=0.5605327	許書豪
prior=0.5604039	INFINITE
prior=0.5603584	曾沛慈
prior=0.56035	Logic
prior=0.5602562	郁可唯
prior=0.5602268	Macklemore
prior=0.5600427	孫子涵
prior=0.559867	陳勢安 and 畢書盡
prior=0.5597571	Naughty Boy
prior=0.5596633	王俊琪
prior=0.5596269	動力火車
prior=0.5595695	Calvin Harris and Alesso
prior=0.5592986	陳粒
prior=0.5590557	로이킴 김이지
prior=0.5589549	Rich Brian
prior=0.5589115	XIA
prior=0.5588597	孝琳 and CHANGMO
prior=0.5587386	Hailee Steinfeld
prior=0.5586707	王傑
prior=0.5586259	Galantis
prior=0.5586105	畢書盡
prior=0.5585027	Jung Joonil
prior=0.5581709	Lyn
prior=0.5578881	Kygo and Miguel
prior=0.5578804	The Bellas
prior=0.5578804	Bellas
prior=0.5575262	MØ
prior=0.5570922	鼓鼓
prior=0.5570873	Axwell Λ Ingrosso
prior=0.5570026	VIXX
prior=0.5569935	Little Mix
prior=0.5569088	Yu Jae Seok and EXO
prior=0.5568283	Aerosmith
prior=0.5568143	J Balvin and Willy William
prior=0.5568038	Knock
prior=0.556773	DEAN
prior=0.5566939	Wanna One Lean On Me
prior=0.5564811	Billie Eilish and Khalid
prior=0.5564643	Kim Kyung Hee
prior=0.5564538	西野加奈
prior=0.5564426	DJ Snake and Lil Jon
prior=0.556325	劉增瞳
prior=0.5563033	The xx
prior=0.5563033	xx
prior=0.5561157	朱俐靜
prior=0.5561031	吳申梅
prior=0.5559134	Alesso
prior=0.5559092	Carly Rae Jepsen and Owl City
prior=0.5558518	Park Kyung
prior=0.5557902	里歐娜
prior=0.5557839	Rag'n'Bone Man
prior=0.5556761	二珂
prior=0.5556383	信樂團
prior=0.5554423	DREAMCATCHER
prior=0.5553065	Bon Jovi
prior=0.5552925	Lana Del Rey and Cedric Gervais
prior=0.5552687	宇宙少女
prior=0.5551126	曾之喬
prior=0.555086	林生祥
prior=0.555065	Hardwell
prior=0.5550412	張敬軒
prior=0.5550216	新樂塵符 賀子玲
prior=0.5549656	Andra Day
prior=0.5548305	Skrillex and Poo Bear
prior=0.5547689	Hozier
prior=0.5547129	GD X 太陽
prior=0.5546219	I.O.I
prior=0.5546009	奧拉 and CamelPhat
prior=0.5545064	BLOCK B
prior=0.5544588	Fall Out Boy
prior=0.5544567	Hello Nico
prior=0.5544399	楊洋
prior=0.5544259	Faye 飛
prior=0.5540633	Omi
prior=0.5540549	Zara Larsson and MNEK
prior=0.5540003	许仁杰 and 頑童MJ116
prior=0.5539121	孝琳
prior=0.5537826	文慧如
prior=0.5537441	Avril Lavigne
prior=0.5537427	Park Yong In and Kwon Soonil
prior=0.5535348	Amy Shark
prior=0.553511	Little Mix and CNCO
prior=0.5534732	Cardi B
prior=0.5533129	ZICO
prior=0.5532002	Urban Zakapa
prior=0.5531715	任賢齊
prior=0.5529566	林志炫
prior=0.5529048	張棟樑
prior=0.5527256	Calum Scott
prior=0.5526801	LOOΠΔ yyxy
prior=0.5526801	LOOΠΔ
prior=0.5526801	yyxy
prior=0.5525933	High4 and IU
prior=0.5524365	李振源
prior=0.5523651	伍佰 and China Blue
prior=0.5523077	阿肆
prior=0.5523042	Colbie Caillat
prior=0.5521516	Alice Merton
prior=0.5521005	周筆暢
prior=0.5520613	阿達
prior=0.5520046	MONSTA X
prior=0.551978	Daniel Powter
prior=0.5518989	INDIIA
prior=0.5517911	Robin Schulz
prior=0.5516112	Stray Kids
prior=0.551593	TAEMIN
prior=0.5514859	藍又時
prior=0.5514845	江蕙
prior=0.5513942	弦子
prior=0.5512094	徐仁國 and 鄭恩地
prior=0.5509294	Iggy Azalea
prior=0.5508895	Tiger JK
prior=0.5506088	Jaden Smith
prior=0.5506032	The Black Eyed Peas
prior=0.5506032	Black Eyed Peas
prior=0.5505962	董貞
prior=0.5505668	鄭恩地
prior=0.5505542	許美靜
prior=0.550438	林凡
prior=0.5504219	Bellas Evermoist Saddle Up Young Sparrow And DJ Dragon Nutz and Soldiers
prior=0.5504219	The Bellas Evermoist Saddle Up Young Sparrow And DJ Dragon Nutz and Soldiers
prior=0.5502917	LONGGUO
prior=0.5499977	RL Grime
prior=0.549927	BEN
prior=0.5497751	李劍青
prior=0.5497499	李玟
prior=0.5495231	秀智 and Baekhyun
prior=0.5492606	張碧晨
prior=0.5491997	阿杜
prior=0.5489344	毛不易
prior=0.5489064	宋旻浩 and ZICO
prior=0.5488294	許鈞
prior=0.5487167	Sabrina Carpenter and Jonas Blue
prior=0.5486866	S H E
prior=0.5486327	Woo Won Jae
prior=0.5485886	羅大佑
prior=0.5485074	R3HAB and Mike Williams
prior=0.5483268	Arthur Rubinstein
prior=0.5482953	東方神起
prior=0.5482183	Pitbull and Ne Yo
prior=0.5481483	Sufjan Stevens
prior=0.5480811	The Fray
prior=0.5480811	Fray
prior=0.5479215	品冠
prior=0.5479124	Christina Aguilera
prior=0.547855	HUSH
prior=0.5476912	Birdy
prior=0.5476317	草屯囝仔
prior=0.5476191	馬頔
prior=0.5475995	Auli'i Cravalho
prior=0.5475764	曹格
prior=0.5474343	HATFELT
prior=0.5474343	HA
prior=0.5474343	TFELT
prior=0.5474343	HA TFELT
prior=0.5472992	Avicii and Nicky Romero
prior=0.5472782	Tez Cadey
prior=0.5471844	江美琪
prior=0.5469464	Kenshi Yonezu plus Masaki Suda
prior=0.5469464	Kenshi Yonezu and Masaki Suda
prior=0.5469464	Kenshi Yonezu Masaki Suda
prior=0.546924	Snow Patrol
prior=0.5468827	Rixton
prior=0.5468771	蘇珮卿
prior=0.5468729	MK
prior=0.5468624	劉德華
prior=0.5465782	鋼琴心情
prior=0.5465446	劉柏辛Lexie
prior=0.546525	Kesha
prior=0.5464977	新樂塵符
prior=0.5464571	BOL4 and Twenty Years of Age
prior=0.5464424	趙傳
prior=0.5463675	NCT 127
prior=0.5463416	Han Suji
prior=0.5462135	Daya
prior=0.5461246	Jack Johnson
prior=0.5460861	Michael Jackson and Justin Timberlake
prior=0.5459055	Maggie Rogers
prior=0.5457893	f x
prior=0.5457893	f
prior=0.5457522	The Lumineers
prior=0.5457522	Lumineers
prior=0.5456801	PRETTYMUCH
prior=0.5456178	CHEN
prior=0.5454064	Craig David
prior=0.5453987	Snakehips and MØ
prior=0.5453637	黃乙玲
prior=0.5452524	Skrillex and Rick Ross
prior=0.5452398	RPG 茄子蛋
prior=0.5451887	Eric Nam
prior=0.5451026	Enrique Iglesias
prior=0.5450683	Slate
prior=0.5450655	Christopher
prior=0.5450067	盧巧音
prior=0.5449976	187 INC
prior=0.5449857	YUKA
prior=0.5449822	Gryffin
prior=0.5449766	Ji-min
prior=0.5449577	Radiohead
prior=0.5449535	白娥娟
prior=0.5449094	Luis Fonsi and Demi Lovato
prior=0.5448338	陳淑樺
prior=0.5447848	張靚穎
prior=0.5447099	Rae Sremmurd
prior=0.5447071	Britney Spears
prior=0.544684	B1A4
prior=0.5446035	Daniel Caesar
prior=0.5445272	LMFAO
prior=0.5443872	黃齡
prior=0.5441548	Guns N' Roses
prior=0.5440568	Panic At the Disco
prior=0.5440218	Vast and Hazy
prior=0.5438132	Whitney Houston
prior=0.543774	Foster the People
prior=0.5437096	JJ Project
prior=0.5436949	James Blunt
prior=0.543417	品冠 and 梁靜茹
prior=0.5434163	DJ Snake and Mercer
prior=0.5433155	Lil Dicky
prior=0.5432938	劉嘉亮
prior=0.5432721	PRISTIN
prior=0.5432259	Machine Gun Kelly X Ambassadors and Bebe Rexha
prior=0.5430922	The New Barden Bellas
prior=0.5430922	New Barden Bellas
prior=0.5430313	David Guetta and 尼力
prior=0.5429508	Vanessa Carlton
prior=0.5427779	Hayden James
prior=0.5426351	韓紅
prior=0.5425728	李閏珉
prior=0.5425651	Karen Gibson and The Kingdom Choir
prior=0.5425245	HYDE
prior=0.5424888	Michael Jackson
prior=0.5423166	Weki Meki
prior=0.5422578	Lil Pump
prior=0.5421864	JP Cooper
prior=0.5421367	Kungs and Stargate
prior=0.5420506	Robinson
prior=0.5419596	Wanna One No 1
prior=0.5418945	MONGOL800
prior=0.541884	吳卓源
prior=0.5416985	Kevin Kern
prior=0.5416691	蘇運瑩
prior=0.5416418	Dean Lewis
prior=0.5416096	Robin Thicke
