prior=0.7	Taylor Swift
prior=0.5368251	HYUKOH
prior=0.5365836	Owl City and Carly Rae Jepsen
prior=0.5365262	Bon Jovi
prior=0.5361629	TIFFANY
prior=0.5361146	NCT U
prior=0.5360754	徐誉滕
prior=0.5358171	Little Mix and CNCO
prior=0.5358122	Quavo and Travis Scott
prior=0.5358122	Lil Uzi Vert
prior=0.5357884	周蕙
prior=0.5356015	Enrique Iglesias
prior=0.5355196	绮拉 奈特莉
prior=0.5354307	田馥甄 and 井柏然
prior=0.5354062	Sean Paul
prior=0.5353551	兰卡
prior=0.5353341	A Pink
prior=0.535325	Eddy Kim
prior=0.5350422	Andy Grammer
prior=0.53487	PRISTIN V
prior=0.5348098	郑基高 and Soyou
prior=0.5347377	陈珊妮
prior=0.5344325	G-Eazy
prior=0.534331	B.o.B
prior=0.5342379	Alex Goot
prior=0.5341763	MAGIC
prior=0.5341665	Birdy
prior=0.5341182	ONF
prior=0.5340643	金钟铉
prior=0.5340496	Radiohead
prior=0.5340321	OneRepublic and Seeb
prior=0.5339915	Michael Jackson and Justin Timberlake
prior=0.5339544	Iñigo Pascual
prior=0.5338921	Martin Garrix and Brooks
prior=0.5338571	The White Stripes
prior=0.5338571	White Stripes
prior=0.5338536	黄凯芹
prior=0.5338214	Hailee Steinfeld
prior=0.5337101	林志炫
prior=0.5336086	Ella Mai
prior=0.5335344	飞轮海
prior=0.5335239	Gryffin
prior=0.5335232	江美琪
prior=0.5334924	汤宝如 and 张学友
prior=0.5332572	林奕匡
prior=0.533022	EXO-K
prior=0.5329758	许茹芸
prior=0.5329527	魏如昀
prior=0.5328876	季彦霖 and 箱子君
prior=0.5327987	郑秀文
prior=0.5327035	Bishop Briggs
prior=0.5327007	Gavin DeGraw
prior=0.532637	Hailee Steinfeld and BloodPop®
prior=0.5323276	卫兰
prior=0.5323157	陈淑桦
prior=0.5322716	Malia Civetz
prior=0.5321617	Sabrina Carpenter and Jonas Blue
prior=0.5320602	David Guetta and Showtek
prior=0.5320357	Pianoboy
prior=0.531951	杨培安
prior=0.5318943	李袁杰
prior=0.5316521	MK
prior=0.5315961	John Legend and BloodPop®
prior=0.53144	Adam Lambert
prior=0.531328	Timbaland
prior=0.5312405	TheFatRat
prior=0.5312055	李闰珉
prior=0.5311992	Tiësto and Dzeko
prior=0.5311789	Lykke Li
prior=0.5311516	Drake and Future
prior=0.531048	Higher Brothers and DJ Snake
prior=0.5310417	Mýa and Pink
prior=0.5310417	Lil' Kim
prior=0.5310256	宋旻浩
prior=0.5309458	Skrillex and Poo Bear
prior=0.5308688	谢春花
prior=0.5308436	林俊杰 and Jason Mraz
prior=0.5307498	黎瑞恩
prior=0.5305503	刘佳
prior=0.5305146	J Sheon
prior=0.5304628	Delaney Jane
prior=0.5304145	韩红 and 林俊杰
prior=0.5302885	安苏羽
prior=0.5301527	信乐团
prior=0.5301457	The Downtown Fiction
prior=0.5301457	Downtown Fiction
prior=0.5300925	SEVENTEEN
prior=0.5300407	MAX
prior=0.5300386	Lily Allen
prior=0.529991	薛凯琪
prior=0.5298972	Omi
prior=0.5298706	吴雨霏
prior=0.5298643	J Fla
prior=0.5297215	KARD
prior=0.529655	Rae Sremmurd
prior=0.529627	Green Day
prior=0.5295794	Wanna One Lean On Me
prior=0.529508	苏芮
prior=0.5295031	John Denver
prior=0.5292749	秋裤大叔
prior=0.5292553	李剑青 and 白安
prior=0.5292112	尹美莱
prior=0.5291965	宋旻浩 and ZICO
prior=0.52899	莫文蔚 and 黄品源
prior=0.5289326	Amy Shark
prior=0.5289025	Iggy Azalea
prior=0.5288514	Tim McGraw
prior=0.5288451	Pharrell Williams x Camila Cabello
prior=0.5288227	Andra Day
prior=0.5288059	于文文
prior=0.5288052	AMIT
prior=0.528773	谭维维 and GAI
prior=0.5287009	Travis Scott and Camila Cabello
prior=0.5285896	张栋梁
prior=0.528395	AC/DC
prior=0.5283705	Peter
prior=0.5283705	Paul and Mary
prior=0.528234	Fort Minor
prior=0.5282326	LOOΠΔ yyxy
prior=0.5281752	休 杰克曼 and 扎克 艾弗
prior=0.5281591	陈慧琳
prior=0.5281332	李权哲
prior=0.5281199	华晨宇
prior=0.5280289	GFriend
prior=0.5277979	Girl's Day
prior=0.5277979	Galantis
prior=0.5276558	League of Legends
prior=0.5275011	汪峰 and 黄勇
prior=0.5274122	Vance Joy
prior=0.5273044	Train
prior=0.5272981	刘思涵
prior=0.5271798	周柏豪 and 郑融
prior=0.5271707	齐一
prior=0.5271357	Ella Henderson
prior=0.5269082	王靖雯
prior=0.5268459	蔡琴
prior=0.526834	李袁杰 and 曾惜
prior=0.526792	Pitbull and Ne Yo
prior=0.5267878	Sabrina Carpenter
prior=0.5266233	郑兴
prior=0.5265694	Jason Mraz and Colbie Caillat
prior=0.5264868	秀智 and Baekhyun
prior=0.5264672	二珂
prior=0.5263972	SawanoHiroyuki
prior=0.5263832	ATM顶级玩家
prior=0.5263426	Skrillex
prior=0.5263139	Bob Dylan
prior=0.5263118	David Guetta and Cheat Codes
prior=0.5263118	Robin Schulz
prior=0.5262852	Natasha Bedingfield
prior=0.5262446	Robin Thicke
prior=0.5261529	Chace
prior=0.5261515	张杰
prior=0.5261067	Redfoo
prior=0.5260304	Nirvana
prior=0.5259716	The Wanted
prior=0.5259716	Wanted
prior=0.5258603	鹏泊
prior=0.5258288	HAIM
prior=0.5258183	Michael Learns to Rock
prior=0.5257987	永彬 and AY杨老三
prior=0.5257637	Kiiara
prior=0.5257322	WINNER
prior=0.5256755	Bad Meets Evil
prior=0.525525	王菲 and 马云
prior=0.5254739	温岚
prior=0.5254571	CHUNG HA
prior=0.5253563	Calum Scott and 丽安娜 刘易斯
prior=0.525329	JAY Z and LINKIN PARK
prior=0.5253206	Sam Hunt
prior=0.525273	21 Savage
prior=0.5252296	潘玮柏 and 苏芮
prior=0.525161	Michael Bublé
prior=0.5251498	黄渤
prior=0.5250497	方大同 and 薛凯琪
