prior=0.7	BLACKPINK
prior=0.5677448	Steve Aoki and Louis Tomlinson
prior=0.5675873	王俊琪
prior=0.5675054	George Michael
prior=0.567406	James Bay
prior=0.5671085	盧巧音
prior=0.5670133	草蜢
prior=0.566993	Dennis Lloyd
prior=0.5669237	10cm
prior=0.5665961	Zara Larsson
prior=0.5665905	Niall Horan
prior=0.5665408	張韶涵
prior=0.5664883	Logic
prior=0.5663882	Lee Hi
prior=0.5662377	洪卓立
prior=0.566174	Carly Rae Jepsen and Owl City
prior=0.5661684	Sean Paul and David Guetta
prior=0.5659255	關心妍
prior=0.5658485	陳百強
prior=0.5657386	Kehlani
prior=0.5656637	譚詠麟
prior=0.5655643	4Minute
prior=0.5655006	鞠文娴
prior=0.5653004	Akdong Musician
prior=0.5652857	Beyoncé
prior=0.5651156	關喆
prior=0.5651128	LSD
prior=0.5646242	Halsey
prior=0.5645899	劉佳
prior=0.5645325	Wanna One Lean On Me
prior=0.5641804	HENRY
prior=0.5641566	陳柏宇 and 楊丞琳
prior=0.5641202	Zion T
prior=0.5641048	李佳薇
prior=0.5639746	蔡健雅
prior=0.5639158	Backstreet Boys
prior=0.5635518	黎明
prior=0.5634818	Jax Jones
prior=0.5634741	鄭伊健
prior=0.563409	2NE1
prior=0.5631598	Auli'i Cravalho
prior=0.5631528	Michael Learns to Rock
prior=0.5631262	容祖兒 and 周柏豪
prior=0.5630758	胡定欣
prior=0.5628448	Twins and Boy'z
prior=0.5627741	Sean Paul
prior=0.5626985	Galantis
prior=0.5626397	Leessang
prior=0.5624752	Heyo
prior=0.5624157	WJSN
prior=0.5623149	范瑋琪
prior=0.5622974	Lana Del Rey
prior=0.5622708	黃劍文
prior=0.5622498	張杰
prior=0.562219	Charli XCX
prior=0.5621644	張震嶽
prior=0.5618935	NCT U
prior=0.5617031	EXO-K
prior=0.5616891	Flo Rida
prior=0.5615071	Miley Cyrus
prior=0.5613265	Lyn
prior=0.5611844	Cardi B
prior=0.5611046	Liam Payne and J Balvin
prior=0.5610045	Alicia Keys
prior=0.5609226	Seo In Guk and Jeong Eun Ji
prior=0.5609072	南拳媽媽
prior=0.5608309	郭富城
prior=0.5607826	泳兒 and 海鳴威
prior=0.5606958	Suzy and BAEKHYUN
prior=0.5605502	鄧麗欣
prior=0.5604627	LMFAO
prior=0.5603479	Jung Joonil
prior=0.5602849	Rae Sremmurd
prior=0.5602135	Jay Park
prior=0.5602128	Boy'z and Twins
prior=0.5601792	Tiger JK
prior=0.5600938	新乐尘符
prior=0.5600651	莊心妍
prior=0.5599867	陳奕迅 and 苦榮
prior=0.5598733	INFINITE
prior=0.5596983	88rising Joji Rich Brian Higher Brothers and AUGUST 08
prior=0.5596829	Jessica
prior=0.5596444	Girls On Top
prior=0.559391	白安
prior=0.5592853	Jason Derulo
prior=0.5592748	林芯儀
prior=0.5592671	Macklemore and Ryan Lewis
prior=0.5591957	林峯
prior=0.5591369	校长
prior=0.55902	鍾嘉欣
prior=0.5589976	Jackson Wang
prior=0.5589472	盧冠廷
prior=0.5585916	羅志祥
prior=0.558432	劉德華
prior=0.5583508	Slate
prior=0.5581653	鄭秀文 and 許志安
prior=0.5581149	四叶草
prior=0.5580379	EXO-CBX
prior=0.5580337	JW and 蘇永康
prior=0.5579812	Rich Brian
prior=0.557844	關智斌
prior=0.5576844	Banx and Ranx and Ella Eyre
prior=0.5576361	Portugal The Man
prior=0.5571524	泳兒
prior=0.5571314	The Black Eyed Peas
prior=0.5571314	Black Eyed Peas
prior=0.5569151	BoA
prior=0.556899	Asher Book
prior=0.5568024	Carpenters
prior=0.5567786	Julia Michaels
prior=0.5566624	周柏豪 and 鄭融
prior=0.5565826	蔡依林
prior=0.5564027	Yu Jae Seok and EXO
prior=0.5561892	PRISTIN
prior=0.5559834	The Script feat. will.i.am
prior=0.5559834	Script feat. will.i.am
prior=0.5557272	蔡佩軒
prior=0.5557265	XIA
prior=0.5556516	彭羚
prior=0.5555858	張學友 and 林憶蓮
prior=0.5554962	藍又時
prior=0.5554423	Denise Ho
prior=0.5553744	TFBOYS
prior=0.5553282	GARY
prior=0.5553268	Seeb and Dagny
prior=0.5552589	許志安 and 車婉婉
prior=0.5550839	阿涵
prior=0.5547521	DJ Snake and Lil Jon
prior=0.5547493	M 22
prior=0.5547325	Boy'z
prior=0.5546779	Dr. Dre
prior=0.5544602	華晨宇
prior=0.5543258	Zedd and Liam Payne
prior=0.554239	Daniel Powter
prior=0.5540934	Kygo
prior=0.5539156	Sufjan Stevens
prior=0.553889	Sigrid
prior=0.5534683	Kuana Torres Kahele Napua Greig and James Ford Murphy
prior=0.5532891	丁噹
prior=0.5530707	李聖傑
prior=0.5530266	Lil Dicky
prior=0.5527956	Skrillex and Rick Ross
prior=0.5523413	High4 and IU
prior=0.5522839	M O Lotto Boyzz and Mr Eazi
prior=0.5520893	林京燁
prior=0.5520151	黃凱芹
prior=0.5519885	林峯 and 泳兒
prior=0.5519178	Hailee Steinfeld
prior=0.5518177	The Beatles
prior=0.5518177	Beatles
prior=0.5516259	LMF
prior=0.551621	Wonder Girls
prior=0.5516203	Snoop Dogg and Wiz Khalifa
prior=0.5516175	楊洋
prior=0.5516175	曾沛慈
prior=0.5514663	林海峰 古巨基 梁漢文 蘇永康 and 鄭中基
prior=0.5513179	Bon Jovi
prior=0.5510029	Olly Murs
prior=0.5506235	Ping Pung
prior=0.5505731	John Mayer
prior=0.5504212	Hyolyn
prior=0.5504156	MINO and ZICO
prior=0.5503708	衛詩
prior=0.5503225	Air Supply
prior=0.5503211	Urban Zakapa
prior=0.5502252	SURAN
prior=0.5501622	WALK THE MOON
prior=0.5500929	The Script
prior=0.5500929	Script
prior=0.5500033	NF
prior=0.5499641	方皓玟 and 王浩信
prior=0.5499382	Dragon Pig
prior=0.5499312	HYUKOH
prior=0.5497989	Joel Adams
prior=0.5497457	Wham
prior=0.5496519	BLOCK B
prior=0.5493579	Utada Hikaru
prior=0.5491913	TIFFANY
prior=0.549171	Jeong Eun Ji
prior=0.5491283	Mariah Carey
prior=0.5490947	Michael Jackson
prior=0.5490163	陳冠希
prior=0.5488	Matteo
prior=0.5487629	Lil Pump
prior=0.5487118	家家
prior=0.5486936	Usher
prior=0.5486516	毛不易
prior=0.5484913	Triple H
prior=0.5484339	Martin Jensen
prior=0.5483968	Iggy Azalea
prior=0.5483828	Lenka
prior=0.5483618	KYUHYUN
prior=0.5481469	B1A4
prior=0.5480601	Fun
prior=0.5476793	Maggie Ko
prior=0.5475757	CL
prior=0.5475113	JAY Z and Alicia Keys
prior=0.5473846	MP魔幻力量
prior=0.547323	Wanna One No 1
prior=0.5471641	J Balvin and Willy William
prior=0.5471298	MC Jin and 林峯
prior=0.5469884	Mika Nakashima
prior=0.5468414	Lil Uzi Vert
prior=0.5468008	Céline Dion and Peabo Bryson
prior=0.5465509	MONGOL800
prior=0.546525	Desiigner
prior=0.5465068	Kanye West
prior=0.546406	Lea Salonga and Brad Kane
prior=0.5463689	Anne Marie and Marshmello
prior=0.5462632	麥浚龍 and 薛凱琪
prior=0.5462478	Nicky Jam
prior=0.5462415	洪嘉豪
prior=0.5459797	李毓芬
prior=0.5459713	Radiohead
prior=0.5457844	DEAN
prior=0.5457697	文慧如
prior=0.5457669	Rihanna and Kanye West and Paul McCartney
prior=0.5457305	Ruel
prior=0.5457291	NEIKED
prior=0.5456675	顏卓靈
prior=0.5456437	陳勢安
prior=0.5455513	Tove Lo
prior=0.5455072	Lauv
prior=0.5454589	M2M
prior=0.5454176	Kim Kyung Hee
prior=0.54537	황태지
prior=0.5453427	로이킴 김이지
prior=0.5452874	ZICO
prior=0.5452832	宋冬野
prior=0.545279	Juice WRLD
prior=0.5452167	G-Eazy
prior=0.5451362	Simon and Garfunkel
prior=0.5450823	Travie McCoy
prior=0.5446406	Jax Jones and Mabel
prior=0.5445517	張信哲
prior=0.5442724	Aerosmith
prior=0.5438958	It's
prior=0.5437054	CNBLUE
prior=0.5436921	Cash Cash
prior=0.5436914	Tank Lu
prior=0.5436466	楊千嬅 and 蔡德才
prior=0.5434562	Ji-min
prior=0.5434485	許志安 and 葉德嫻
prior=0.5434212	Luis Fonsi and Demi Lovato
prior=0.5434212	Fall Out Boy
prior=0.5432833	Hugh Grant and Haley Bennett
prior=0.5431741	洪佩瑜
prior=0.543137	陳展鵬
prior=0.5430824	Kristen Bell Agatha Lee Monn and Katie Lopez
prior=0.5429627	James Blunt
prior=0.5427401	林育群
prior=0.542738	Loco and 화사
prior=0.5426659	Silentó
prior=0.5425728	MØ
prior=0.5425021	Zara Larsson and MNEK
prior=0.5423789	王儷婷
prior=0.5421269	Cheat Codes and Little Mix
prior=0.5420653	Pitbull and Ne Yo
prior=0.5420121	SISTAR19
